Commit,High_Confidence,Medium_Confidence,Low_Confidence,High_Severity,Medium_Severity,Low_Severity,CWEs
31b0dab9d6ac70e2a316872c02cfc6172b5fac91,0,0,0,0,0,0,
38e9ac89fa69bfbfc80d2ee7cf194b5ddc3d12e6,178,0,0,0,2,176,"78, 703"
3b15301082851db622c0678c1bd37b2507b2a2c8,0,0,0,0,0,0,
3b73c48c771d1cdeacad5d6305da8fe7c7ee92f6,1,0,0,0,0,1,703
3f0447b1b4b31798e15f3662334ebf56059944ab,73,0,0,0,0,73,703
409b761abd015d0d0737b71bb406e763da01b49c,0,0,0,0,0,0,
457365aba790d8dbd1e26776340982e09250686d,0,0,0,0,0,0,
46427307205884b6c7a19f165b05ef803711c5f6,1,0,0,0,0,1,703
4694e176f4866a6975059a3f69085fab70aa7a30,0,0,0,0,0,0,
486c2af3ba2e3b5549c1c28da047efd603b343dd,3,0,0,0,1,2,78
51aa84e51179d80758b3bbd7dce097b2b2e4fd19,0,0,0,0,0,0,
525f2e5a5aced4ec1944886423249ad40952505c,374,4,0,0,8,370,"78, 703, 377"
53d00c197c35b9c689cb2e73ab067e151a757238,45,0,0,0,0,45,"78, 703"
55546049bc13f5a8f47ae93180a6a07cd3c7eee2,86,0,0,0,0,86,703
578e02d20bc63bddc0fc25c28bf7569519b89838,0,0,0,0,0,0,
59d4f2b45fe556e23dfec9569d74ec41aa3f3c57,3,0,0,0,1,2,78
5c0b0dfe68b5aabcf3753be320fdd41e9f5df0f3,0,0,0,0,0,0,
5fde6b1f5d4a51f6020f3f24f4a87b72aa55a2c6,2,0,0,0,0,2,703
604fd517709a7c6bb9f001937c76a4a708f98bd0,1,0,0,0,0,1,703
610fcfcc3247a506c2edb9389b0d6e9becdcc1f9,1,0,0,0,0,1,703
667983c4db3b48aaa66f74c97425ea948a9a3f02,6,0,0,0,0,6,703
67ee06623d1b7b89243b0606a9f1251ab689d83c,178,0,0,0,2,176,"78, 703"
694bf84717f51f693fe19310356e694530a06cbf,180,0,0,0,0,180,"78, 703"
6ed3f633cc40c9e22d4552b1ce5e663009fe5ff9,81,0,0,0,0,81,703
78de5f5a713ba218dc519882b4d2686dd2965b03,178,0,0,0,2,176,"78, 703"
7915f1002025bb50ac1b98e571d1ab0962e84eef,178,0,0,0,2,176,"78, 703"
7ee88fca740b5f5b922a194d574928b604ce2900,5,0,0,0,0,5,"78, 703"
7f6ee7c56c17cda9b9d16705980c68743ac7513c,3,0,0,0,1,2,78
8506bfd6d5082738eed160fe823270b17010b51e,38,0,0,0,0,38,703
87a2a92338f461cd1e87323eb9e934036c759db3,3,0,0,0,1,2,78
896b37d2c4497ed7dc555c75429d0d461ff56259,3,0,0,0,0,3,703
8ab133b0efc3eec37d17a407712a89c076e7c483,0,0,0,0,0,0,
8b368a1012a631fd961630e26dc7b81cf2d95027,178,0,0,0,2,176,"78, 703"
8cb866e81ad9cd5bea38871e7287d13d47c172dc,7,0,0,0,0,7,"78, 703"
91d70162d8835eca5c9a48d485a2b98551a9cbb5,109,0,0,0,0,109,703
94fc8edb71cb8c2ad12554bfcb114a130bb0c23a,38,0,0,0,0,38,703
9674c799e68f8187755033bbf30e4fe2629e8e68,18,0,0,0,0,18,"78, 703"
99919ef17454d6aadbf329dff97b8020b24a618f,0,0,0,0,0,0,
99e43945eb01b95381b55056acba6227ccae54a2,26,0,0,0,0,26,703
a08f4257c31e91710fa5761a236899592a6a8a14,0,0,0,0,0,0,
a9237b4b3fc5f83df40bd914a18c7f7a18743270,0,0,0,0,0,0,
a9b4d1cb4173e97b5061575a9b2e66a7c6eefa18,2,0,0,0,0,2,703
aa1b452ed86cdc7a032a98f8378f64e295d8b666,72,0,0,0,0,72,703
aa3470a951b857286bcc2d1eba6289fa60d2dcbe,178,0,0,0,2,176,"78, 703"
abbb033e2486bbc343112afb14cc19fe95e1d582,12,0,0,0,0,12,"78, 703"
b485af0e362eabf4824d4b31257408ec42000e6e,26,0,0,0,0,26,703
b4e22ac4dfd57a5d611db0976b001a995a2d8ce4,1,0,0,0,0,1,703
b61cc6f8934259a30beb8af627adcbcf654b46ae,178,0,0,0,2,176,"78, 703"
b8dd3aab68c2bc283ae871a38b4ef70a3cba0ddb,20,0,0,0,0,20,703
ba8a124af97c8a93107ab35ae84b597a69d8e057,118,4,0,0,4,118,"703, 377"
baf7f41ecb2a3fc90fb02983f47f379058a25a3b,3,0,0,0,1,2,78
bdc8737f420468f10825043e14758188f85d4d8a,12,0,0,0,0,12,703
bffcd04ca4357f3d382cb5b3d69c6956f9ae9bcb,112,0,0,0,1,111,"78, 703"
c0efc314d7d451cbad147cadc63e767d7e8e4254,0,0,0,0,0,0,
c2caf259a64a43a6ee257cfc4b3bc0cf300e5288,37,0,0,0,0,37,703
c4b35f3a76015881c8d07a39ab6cd4a300029acc,3,0,0,0,1,2,78
ca8a005da356dde7a968d2698ef81c3e478c405b,38,0,0,0,0,38,703
ceb29b540e7e542559660c65276a3c8c88ea1803,73,0,0,0,0,73,703
d2b8d87daf16df1c38c0c1ed95cffb9fc76655c6,1,0,0,0,0,1,703
d9df1ddda75beea32acd02ae2edcfb3dd252eb83,3,0,0,0,1,2,78
e16337d9586156851dcf6e24b9509f67914bdc1b,1,0,0,0,0,1,703
e334951ee734798c1407fef21052ef2556767af6,17,0,0,0,0,17,"78, 703"
e4c53b80459657b7600f4d9613a191bd4de6d4bf,1,0,0,0,0,1,703
e66cb196f3ab8cb09053c5737713e9d8683dc020,10,0,0,0,1,9,"78, 703"
e6f9e0a9e1334c4fa8caa920da4b648e4bea7a86,3,0,0,0,1,2,78
e75462b32581d7ef110ab6f517464d5af5dbed39,0,0,0,0,0,0,
e7f1b320acd75e09b3320bbb5e838f35b10bc2a9,0,0,0,0,0,0,
ea6ddb192adf6f5edd4ae141a856e9aed483ed83,1,0,0,0,0,1,703
f11a9e3e2ea35b617efd7a86ba0a9d57876d4a3e,72,0,0,0,0,72,703
f6cc8c48a2314a57b5fb742cc6fbb5878d0ae74a,0,0,0,0,0,0,
f954b6c6c828b8c1997a604ee4d8eab926a88adf,1,0,0,0,0,1,703
f9c4ba9306bf110b1461b672dfd6a5511e556b42,1,0,0,0,0,1,703
fa1fd0cd03daa8882ebdd5d5912ec7ac7ceb22fa,0,0,0,0,0,0,
